着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,推定,馬体重,前走比,調教師,単勝人気
1,5,9,イクイノックス,牡3,55,C.ルメール,02:32.4,,35.4,492,4,木村哲也,1
2,2,3,ボルドグフーシュ,牡3,55,福永祐一,02:32.8,2.5,35.2,498,2,宮本博,6
3,3,5,ジェラルディーナ,牝4,55,C.デムーロ,02:33.1,1.5,35.7,470,0,斉藤崇史,3
4,1,2,イズジョーノキセキ,牝5,55,岩田康誠,02:33.2,３／４馬身,36.1,472,2,石坂公一,13
5,4,7,エフフォーリア,牡4,57,横山武史,02:33.2,クビ,36.3,532,12,鹿戸雄一,5
6,4,8,ウインマイティー,牝5,55,和田竜二,02:33.5,1.5,36.2,484,-10,五十嵐忠男,15
7,5,10,ジャスティンパレス,牡3,55,T.マーカンド,02:33.5,クビ,36.6,456,4,杉山晴紀,7
8,8,16,ディープボンド,牡5,57,川田将雅,02:33.6,１／２馬身,36.8,504,前計不,大久保龍志,8
9,7,13,タイトルホルダー,牡4,57,横山和生,02:34.1,3,37.6,476,前計不,栗田徹,2
10,3,6,ヴェラアズール,牡5,57,松山弘平,02:34.1,クビ,36.8,510,0,渡辺薫彦,4
11,7,14,ボッケリーニ,牡6,57,浜中俊,02:34.5,2.5,37.5,468,10,池江泰寿,14
12,6,12,ポタジェ,牡5,57,吉田隼人,02:34.5,アタマ,37.3,472,4,友道康夫,12
13,6,11,ラストドラフト,牡6,57,三浦皇成,02:34.6,１／２馬身,37.5,470,2,戸田博文,16
14,2,4,アリストテレス,牡5,57,武豊,02:34.9,1.75,37.5,484,6,音無秀孝,10
15,1,1,アカイイト,牝5,55,幸英明,02:35.0,１／２馬身,37.4,522,-2,中竹和也,9
16,8,15,ブレークアップ,牡4,57,戸崎圭太,02:36.2,7,39.4,504,4,黒岩陽一,11
1,5,10,エフフォーリア,牡3,55,横山武史,02:32.0,,35.9,516,2,鹿戸雄一,1
2,3,5,ディープボンド,牡4,57,和田竜二,02:32.1,３／４馬身,36.1,502,前計不,大久保龍志,5
3,4,7,クロノジェネシス,牝5,55,C.ルメール,02:32.2,１／２馬身,36,478,前計不,斉藤崇史,2
4,5,9,ステラヴェローチェ,牡3,55,M.デムーロ,02:32.3,１／２馬身,35.9,498,4,須貝尚介,3
5,8,16,タイトルホルダー,牡3,55,横山和生,02:32.5,1.5,36.9,476,12,栗田徹,4
6,6,11,アリストテレス,牡4,57,武豊,02:33.0,3,36.4,474,-6,音無秀孝,9
7,7,13,アカイイト,牝4,55,幸英明,02:33.1,１／２馬身,36.6,516,2,中竹和也,6
8,2,3,モズベッロ,牡5,57,池添謙一,02:33.5,2.5,37.1,480,0,森田直行,14
9,4,8,ユーキャンスマイル,牡6,57,藤岡佑介,02:33.6,１／２馬身,36.9,512,6,友道康夫,16
10,8,15,キセキ,牡7,57,松山弘平,02:33.6,クビ,37.6,516,4,辻野泰之,7
11,3,6,ウインキートス,牝4,55,丹内祐次,02:34.3,4,38.5,480,10,宗像義忠,12
12,6,12,シャドウディーヴァ,牝5,55,横山典弘,02:34.3,ハナ,38.4,476,-2,斎藤誠,13
13,1,2,パンサラッサ,牡4,57,菱田裕二,02:34.4,１／２馬身,39.1,480,6,矢作芳人,8
14,1,1,ペルシアンナイト,牡7,57,C.デムーロ,02:34.6,３／４馬身,38.8,500,-2,池江泰寿,11
15,2,4,メロディーレーン,牝5,55,岩田望来,02:35.2,3.5,38.8,352,-2,森田直行,15
16,7,14,アサマノイタズラ,牡3,55,田辺裕信,02:35.4,1.25,38.4,496,4,手塚貴久,10
1,5,9,クロノジェネシス,牝4,55,北村友一,02:35.0,,36.2,474,10,斉藤崇史,1
2,7,14,サラキア,牝5,55,松山弘平,02:35.0,クビ,35.4,448,-2,池添学,11
3,7,13,フィエールマン,牡5,57,C.ルメール,02:35.1,クビ,36.5,470,0,手塚貴久,2
4,4,7,ラッキーライラック,牝5,55,福永祐一,02:35.5,2.5,36.5,520,0,松永幹夫,4
5,3,5,ワールドプレミア,牡4,57,武豊,02:35.6,１／２馬身,36.3,484,2,友道康夫,5
5,5,10,カレンブーケドール,牝4,55,池添謙一,02:35.6,同着,36.8,478,4,国枝栄,3
7,4,8,ペルシアンナイト,牡6,57,大野拓弥,02:35.6,アタマ,36.2,500,0,池江泰寿,12
8,2,3,クレッシェンドラヴ,牡6,57,坂井瑠星,02:35.8,1.5,36.8,500,0,林徹,16
9,8,15,オセアグレイト,牡4,57,横山典弘,02:35.9,クビ,36.8,494,-2,菊川正達,15
10,2,4,ラヴズオンリーユー,牝4,55,M.デムーロ,02:35.9,クビ,36.6,480,-6,矢作芳人,6
11,8,16,ユーキャンスマイル,牡5,57,岩田康誠,02:36.4,3,36.5,504,6,友道康夫,13
12,3,6,キセキ,牡6,57,浜中俊,02:36.5,１／２馬身,37.6,516,8,角居勝彦,8
13,1,1,バビット,牡3,55,内田博幸,02:36.8,2,38.4,458,8,浜田多実雄,10
14,6,12,オーソリティ,牡3,55,川田将雅,02:37.0,1,38.2,514,2,木村哲也,7
15,6,11,モズベッロ,牡4,57,田辺裕信,02:38.2,7,38.5,470,-10,森田直行,14
中止,1,2,ブラストワンピース,牡5,57,横山武史,,,,546,-4,大竹正博,9
1,3,6,リスグラシュー,牝5,55,D.レーン,02:30.5,,34.7,468,前計不,矢作芳人,2
2,5,10,サートゥルナーリア,牡3,55,C.スミヨン,02:31.3,5,35.4,504,2,角居勝彦,3
3,4,7,ワールドプレミア,牡3,55,武豊,02:31.4,クビ,35,492,8,友道康夫,4
4,3,5,フィエールマン,牡4,57,池添謙一,02:31.6,1.5,36,482,前計不,手塚貴久,6
5,6,11,キセキ,牡5,57,R.ムーア,02:31.6,クビ,35.8,506,前計不,角居勝彦,7
